RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Humboldt,THERAPEUTIC_BEHAVIORAL_SVCS,,1,MINUTES
6/30/2020,FY1920,Imperial,ALL,141,,MEMBERS
6/30/2020,FY1920,Imperial,ALL,1109840,,DOLLARS
6/30/2020,FY1920,Imperial,CASE_MANAGEMENT/BROKERAGE,,1,MEMBERS
6/30/2020,FY1920,Imperial,CASE_MANAGEMENT/BROKERAGE,,1,DOLLARS
6/30/2020,FY1920,Imperial,CASE_MANAGEMENT/BROKERAGE,,1,MINUTES
6/30/2020,FY1920,Imperial,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Imperial,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Imperial,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Imperial,ICC,15,,MEMBERS
6/30/2020,FY1920,Imperial,ICC,1602,,MINUTES
6/30/2020,FY1920,Imperial,ICC,5415,,DOLLARS
6/30/2020,FY1920,Imperial,IHBS,99,,MEMBERS
6/30/2020,FY1920,Imperial,IHBS,112685,,MINUTES
6/30/2020,FY1920,Imperial,IHBS,491320,,DOLLARS
6/30/2020,FY1920,Imperial,MEDICATION_SUPPORT_SVCS,70,,MEMBERS
6/30/2020,FY1920,Imperial,MEDICATION_SUPPORT_SVCS,32964,,MINUTES
6/30/2020,FY1920,Imperial,MEDICATION_SUPPORT_SVCS,266025,,DOLLARS
6/30/2020,FY1920,Imperial,MENTAL_HEALTH_SVCS,92,,MEMBERS
6/30/2020,FY1920,Imperial,MENTAL_HEALTH_SVCS,78477,,MINUTES
6/30/2020,FY1920,Imperial,MENTAL_HEALTH_SVCS,342177,,DOLLARS
6/30/2020,FY1920,Inyo,ALL,,1,MEMBERS
6/30/2020,FY1920,Inyo,ALL,,1,DOLLARS
6/30/2020,FY1920,Inyo,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Inyo,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Inyo,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Inyo,ICC,,1,MEMBERS
6/30/2020,FY1920,Inyo,ICC,,1,DOLLARS
6/30/2020,FY1920,Inyo,ICC,,1,MINUTES
6/30/2020,FY1920,Inyo,MENTAL_HEALTH_SVCS,,1,MEMBERS
6/30/2020,FY1920,Inyo,MENTAL_HEALTH_SVCS,,1,DOLLARS
6/30/2020,FY1920,Inyo,MENTAL_HEALTH_SVCS,,1,MINUTES
6/30/2020,FY1920,Kern,ALL,690,,MEMBERS
6/30/2020,FY1920,Kern,ALL,3933742,,DOLLARS
6/30/2020,FY1920,Kern,CASE_MANAGEMENT/BROKERAGE,207,,MEMBERS
6/30/2020,FY1920,Kern,CASE_MANAGEMENT/BROKERAGE,32667,,MINUTES
6/30/2020,FY1920,Kern,CASE_MANAGEMENT/BROKERAGE,91016,,DOLLARS
6/30/2020,FY1920,Kern,CRISIS_INTERVENTION,32,,MEMBERS
6/30/2020,FY1920,Kern,CRISIS_INTERVENTION,4676,,MINUTES
6/30/2020,FY1920,Kern,CRISIS_INTERVENTION,23018,,DOLLARS
6/30/2020,FY1920,Kern,CRISIS_STABILIZATION,41,,MEMBERS
6/30/2020,FY1920,Kern,CRISIS_STABILIZATION,744,,HOURS
6/30/2020,FY1920,Kern,CRISIS_STABILIZATION,82721,,DOLLARS
6/30/2020,FY1920,Kern,ICC,601,,MEMBERS
