RPT_DATE,RPT_YR,GEOGRAPHY,SVC_DESC,AMOUNT,AMOUNT_ANNOT,AMOUNT_TYPE
6/30/2020,FY1920,Kern,ICC,124549,,MINUTES
6/30/2020,FY1920,Kern,ICC,353175,,DOLLARS
6/30/2020,FY1920,Kern,IHBS,282,,MEMBERS
6/30/2020,FY1920,Kern,IHBS,157526,,MINUTES
6/30/2020,FY1920,Kern,IHBS,594634,,DOLLARS
6/30/2020,FY1920,Kern,MEDICATION_SUPPORT_SVCS,286,,MEMBERS
6/30/2020,FY1920,Kern,MEDICATION_SUPPORT_SVCS,70008,,MINUTES
6/30/2020,FY1920,Kern,MEDICATION_SUPPORT_SVCS,470088,,DOLLARS
6/30/2020,FY1920,Kern,MENTAL_HEALTH_SVCS,467,,MEMBERS
6/30/2020,FY1920,Kern,MENTAL_HEALTH_SVCS,590487,,MINUTES
6/30/2020,FY1920,Kern,MENTAL_HEALTH_SVCS,2089200,,DOLLARS
6/30/2020,FY1920,Kern,PSYCHIATRIC_HEALTH_FACILITY,,1,MEMBERS
6/30/2020,FY1920,Kern,PSYCHIATRIC_HEALTH_FACILITY,,1,DAYS
6/30/2020,FY1920,Kern,PSYCHIATRIC_HEALTH_FACILITY,,1,DOLLARS
6/30/2020,FY1920,Kern,TFC,,1,MEMBERS
6/30/2020,FY1920,Kern,TFC,,1,DAYS
6/30/2020,FY1920,Kern,TFC,,1,DOLLARS
6/30/2020,FY1920,Kern,THERAPEUTIC_BEHAVIORAL_SVCS,69,,MEMBERS
6/30/2020,FY1920,Kern,THERAPEUTIC_BEHAVIORAL_SVCS,56802,,MINUTES
6/30/2020,FY1920,Kern,THERAPEUTIC_BEHAVIORAL_SVCS,172679,,DOLLARS
6/30/2020,FY1920,Kings,ALL,75,,MEMBERS
6/30/2020,FY1920,Kings,ALL,806683,,DOLLARS
6/30/2020,FY1920,Kings,CASE_MANAGEMENT/BROKERAGE,30,,MEMBERS
6/30/2020,FY1920,Kings,CASE_MANAGEMENT/BROKERAGE,4931,,MINUTES
6/30/2020,FY1920,Kings,CASE_MANAGEMENT/BROKERAGE,12690,,DOLLARS
6/30/2020,FY1920,Kings,CRISIS_INTERVENTION,,1,MEMBERS
6/30/2020,FY1920,Kings,CRISIS_INTERVENTION,,1,DOLLARS
6/30/2020,FY1920,Kings,CRISIS_INTERVENTION,,1,MINUTES
6/30/2020,FY1920,Kings,ICC,49,,MEMBERS
6/30/2020,FY1920,Kings,ICC,20651,,MINUTES
6/30/2020,FY1920,Kings,ICC,51782,,DOLLARS
